config,status,val_metrics
"{'exp_id': 1, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 2, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 3, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 4, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",train_eval_exception,
"{'exp_id': 5, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",train_eval_exception,
"{'exp_id': 6, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",train_eval_exception,
"{'exp_id': 7, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 8, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 9, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 10, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.06854838709677419, 'exact_f1': 0.04292929292929293, 'lenient_acc': 0.842741935483871, 'lenient_f1': 0.9146608315098468}, 'Mistake_Location': {'exact_acc': 0.6088709677419355, 'exact_f1': 0.252297410192147, 'lenient_acc': 0.6935483870967742, 'lenient_f1': 0.819047619047619}, 'Providing_Guidance': {'exact_acc': 0.40725806451612906, 'exact_f1': 0.2775404345370216, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8623853211009175}, 'Actionability': {'exact_acc': 0.16129032258064516, 'exact_f1': 0.1582226021303667, 'lenient_acc': 0.43951612903225806, 'lenient_f1': 0.5775075987841946}}"
"{'exp_id': 11, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.21370967741935484, 'exact_f1': 0.14386859246672332, 'lenient_acc': 0.22580645161290322, 'lenient_f1': 0.1724137931034483}, 'Mistake_Location': {'exact_acc': 0.13709677419354838, 'exact_f1': 0.1300431139184409, 'lenient_acc': 0.6491935483870968, 'lenient_f1': 0.7819548872180451}, 'Providing_Guidance': {'exact_acc': 0.46875, 'exact_f1': 0.31351351351351353, 'lenient_acc': 0.46875, 'lenient_f1': 0.37037037037037035}, 'Actionability': {'exact_acc': 0.14516129032258066, 'exact_f1': 0.10437762891416108, 'lenient_acc': 0.6290322580645161, 'lenient_f1': 0.7688442211055276}}"
"{'exp_id': 12, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.7782258064516129, 'exact_f1': 0.29176114890400606, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.9193899782135077}, 'Mistake_Location': {'exact_acc': 0.6088709677419355, 'exact_f1': 0.252297410192147, 'lenient_acc': 0.6935483870967742, 'lenient_f1': 0.819047619047619}, 'Providing_Guidance': {'exact_acc': 0.5806451612903226, 'exact_f1': 0.2599448047953032, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8623853211009175}, 'Actionability': {'exact_acc': 0.5483870967741935, 'exact_f1': 0.23611111111111113, 'lenient_acc': 0.6975806451612904, 'lenient_f1': 0.8218527315914489}}"
