config,status,val_metrics
"{'exp_id': 1, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 2, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",success,"{'Mistake_Identification': {'exact_acc': 0.6370967741935484, 'exact_f1': 0.2849768324159592, 'lenient_acc': 0.6975806451612904, 'lenient_f1': 0.8192771084337349}, 'Mistake_Location': {'exact_acc': 0.09274193548387097, 'exact_f1': 0.061577311577311576, 'lenient_acc': 0.6935483870967742, 'lenient_f1': 0.819047619047619}, 'Providing_Guidance': {'exact_acc': 0.6451612903225806, 'exact_f1': 0.3750118539592224, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8862559241706162}, 'Actionability': {'exact_acc': 0.6774193548387096, 'exact_f1': 0.5484895371090325, 'lenient_acc': 0.8024193548387096, 'lenient_f1': 0.8619718309859155}}"
"{'exp_id': 3, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': True}",success,"{'Mistake_Identification': {'exact_acc': 0.8588709677419355, 'exact_f1': 0.641588492808005, 'lenient_acc': 0.9274193548387096, 'lenient_f1': 0.9587155963302753}, 'Mistake_Location': {'exact_acc': 0.7096774193548387, 'exact_f1': 0.497593654018235, 'lenient_acc': 0.7983870967741935, 'lenient_f1': 0.8704663212435233}, 'Providing_Guidance': {'exact_acc': 0.6532258064516129, 'exact_f1': 0.5264957264957265, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.8899521531100478}, 'Actionability': {'exact_acc': 0.7016129032258065, 'exact_f1': 0.5095588235294118, 'lenient_acc': 0.8306451612903226, 'lenient_f1': 0.8833333333333333}}"
"{'exp_id': 4, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.8911290322580645, 'exact_f1': 0.7304954304954304, 'lenient_acc': 0.9596774193548387, 'lenient_f1': 0.9765258215962441}, 'Mistake_Location': {'exact_acc': 0.7419354838709677, 'exact_f1': 0.48871928140534887, 'lenient_acc': 0.8266129032258065, 'lenient_f1': 0.8853333333333333}, 'Providing_Guidance': {'exact_acc': 0.6653225806451613, 'exact_f1': 0.44391685996270525, 'lenient_acc': 0.8104838709677419, 'lenient_f1': 0.8797953964194374}, 'Actionability': {'exact_acc': 0.7379032258064516, 'exact_f1': 0.630217651303239, 'lenient_acc': 0.8588709677419355, 'lenient_f1': 0.899135446685879}}"
"{'exp_id': 5, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.22580645161290322, 'exact_f1': 0.15645091903423322, 'lenient_acc': 0.2540322580645161, 'lenient_f1': 0.2570281124497992}, 'Mistake_Location': {'exact_acc': 0.16532258064516128, 'exact_f1': 0.1814753853060003, 'lenient_acc': 0.6653225806451613, 'lenient_f1': 0.7774798927613941}, 'Providing_Guidance': {'exact_acc': 0.5362903225806451, 'exact_f1': 0.2856685245691588, 'lenient_acc': 0.7096774193548387, 'lenient_f1': 0.824390243902439}, 'Actionability': {'exact_acc': 0.375, 'exact_f1': 0.2702589807852966, 'lenient_acc': 0.42338709677419356, 'lenient_f1': 0.46037735849056605}}"
"{'exp_id': 6, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.7782258064516129, 'exact_f1': 0.29176114890400606, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.9193899782135077}, 'Mistake_Location': {'exact_acc': 0.0846774193548387, 'exact_f1': 0.05204460966542751, 'lenient_acc': 0.6935483870967742, 'lenient_f1': 0.819047619047619}, 'Providing_Guidance': {'exact_acc': 0.16532258064516128, 'exact_f1': 0.09457900807381776, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8623853211009175}, 'Actionability': {'exact_acc': 0.3024193548387097, 'exact_f1': 0.1547987616099071, 'lenient_acc': 0.3024193548387097, 'lenient_f1': 0.0}}"
"{'exp_id': 7, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",train_eval_exception,
"{'exp_id': 8, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",success,"{'Mistake_Identification': {'exact_acc': 0.1532258064516129, 'exact_f1': 0.11539568345323742, 'lenient_acc': 0.1774193548387097, 'lenient_f1': 0.06422018348623854}, 'Mistake_Location': {'exact_acc': 0.5725806451612904, 'exact_f1': 0.35769903180839463, 'lenient_acc': 0.6814516129032258, 'lenient_f1': 0.8029925187032418}, 'Providing_Guidance': {'exact_acc': 0.1693548387096774, 'exact_f1': 0.11522395732922049, 'lenient_acc': 0.7096774193548387, 'lenient_f1': 0.8285714285714286}, 'Actionability': {'exact_acc': 0.33064516129032256, 'exact_f1': 0.3091930777595717, 'lenient_acc': 0.5201612903225806, 'lenient_f1': 0.6072607260726073}}"
"{'exp_id': 9, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': True}",success,"{'Mistake_Identification': {'exact_acc': 0.7782258064516129, 'exact_f1': 0.29176114890400606, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.9193899782135077}, 'Mistake_Location': {'exact_acc': 0.3064516129032258, 'exact_f1': 0.15637860082304525, 'lenient_acc': 0.3064516129032258, 'lenient_f1': 0.0}, 'Providing_Guidance': {'exact_acc': 0.16532258064516128, 'exact_f1': 0.09457900807381776, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8623853211009175}, 'Actionability': {'exact_acc': 0.3024193548387097, 'exact_f1': 0.1547987616099071, 'lenient_acc': 0.3024193548387097, 'lenient_f1': 0.0}}"
"{'exp_id': 10, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': True, 'remove_stopwords': False, 'include_history': False}",train_eval_exception,
